name,phone,website,googlemaps_link,category,zone
Bapna Textiles,"
098943 01230",,"https://www.google.com/maps/place/sri+balaji+textiles/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba96f2565c12f11:0x44d09ac92e9ada87!8m2!3d11.3491688!4d77.7033235!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBDHRleHRpbGVfbWlsbJoBI0NoWkRTVWhOTUc5blMwVlFZV0Z4WkVkb0xVcG1jMWxuRUFF4AEA-gEECAAQSQ!16s%2Fg%2F11t3gts76d?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
South Street Textiles,"
063827 19279",http://www.southstreettextiles.com/,"https://www.google.com/maps/place/Bapna+Textiles/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba96f46e791ebb1:0xee49dfd98b36299a!8m2!3d11.3420218!4d77.7257968!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBE2Nsb3RoaW5nX3dob2xlc2FsZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXpjWFJoTjAxQkVBReABAPoBBAgAEEQ!16s%2Fg%2F1pyqprgzk?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
S.ravichandran textiles SRT,"
073730 27073",,"https://www.google.com/maps/place/South+Street+Textiles/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba967596e6b5ead:0xc00693b1bd97cdaf!8m2!3d11.3536712!4d77.7564752!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBDG1hbnVmYWN0dXJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRdGNGcG1MVTkzRUFF4AEA-gEECAAQKg!16s%2Fg%2F11hdsc3k42?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
"NavNidhi Printex (Nighty, Churidar)","
094433 04801",https://omarham.catalog.to/,"https://www.google.com/maps/place/S.ravichandran+textiles+SRT/@11.3673827,77.669981,13z/data=!4m10!1m2!2m1!1stextiles+in+Erode!3m6!1s0x3ba96f87257c0505:0x3a73d1809e4a80b6!8m2!3d11.3533999!4d77.7238967!15sChF0ZXh0aWxlcyBpbiBFcm9kZVoTIhF0ZXh0aWxlcyBpbiBlcm9kZZIBDHRleHRpbGVfbWlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSUExUWjVjalZCUlJBQuABAPoBBAgAECU!16s%2Fg%2F11h08j4gr4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",textiles,Erode
"Unlimited Fashion Store - Palayapalayam, Erode","
092890 62293",https://unlimitedstores.vmartretail.com/unlimited-fashion-store-palayapalayam-erode-36907/home,"https://www.google.com/maps/place/Unlimited+Fashion+Store+-+Palayapalayam,+Erode/@11.3448994,77.7013933,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba96f83ccc84ea7:0xaf048654d68cd9e3!8m2!3d11.333588!4d77.704435!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11qbcfwhys?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
Erode,,,"https://www.google.com/maps/place/Unlimited+Fashion+Store+-+Palayapalayam,+Erode/@11.3448994,77.7013933,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba96f83ccc84ea7:0xaf048654d68cd9e3!8m2!3d11.333588!4d77.704435!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11qbcfwhys?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
"Unlimited Fashion Store - Veerappanchatram, Erode","
098188 10131",https://unlimitedstores.vmartretail.com/unlimited-fashion-store-veerappanchatram-erode-44212/home?utm_source=GBP,"https://www.google.com/maps/place/Erode/@11.3448994,77.7013933,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba96f4fbcee344f:0x49d081388dca6966!8m2!3d11.3393194!4d77.724067!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11t2xz6c0s?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
Fashion vibes,,,"https://www.google.com/maps/place/Unlimited+Fashion+Store+-+Veerappanchatram,+Erode/@11.3448994,77.7013933,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba96f9d542ade25:0x13f3980f771a5cbe!8m2!3d11.348778!4d77.716611!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11x5s_x985?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
The Nesavu - Erode,"
095144 35553",https://www.thenesavu.com/,"https://www.google.com/maps/place/Fashion+vibes/@11.3448994,77.7013933,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba96f7ab5ee38cd:0x553b69c32e1fe323!8m2!3d11.3393515!4d77.723032!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSAQpzaG9lX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVIxTWxsTWNtZDNSUkFC4AEA-gEECAAQNw!16s%2Fg%2F11s6b3h_xt?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
SSV FASHION collection,"
099435 73727",,"https://www.google.com/maps/place/The+Nesavu+-+Erode/@11.3448994,77.7013933,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba96fb6234840ad:0xb928bcf7ad57abeb!8m2!3d11.3291521!4d77.6991145!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSARhjaGlsZHJlbnNfY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11x7hw15ns?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
"HAY! Park Road, ERODE","
093609 54211",http://www.hayclothing.in/,"https://www.google.com/maps/place/SSV+FASHION+collection/@11.3291521,77.6800601,15z/data=!4m10!1m2!2m1!1sfashion+in+Erode!3m6!1s0x3ba969d12e001473:0x135aeafc36abc831!8m2!3d11.3618768!4d77.7119229!15sChBmYXNoaW9uIGluIEVyb2RlWhIiEGZhc2hpb24gaW4gZXJvZGWSAQ5jbG90aGluZ19zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTWExcDVTa0ozRUFF4AEA-gEECAAQLw!16s%2Fg%2F11s1p37q_q?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",fashion,Erode
